from,to,distance
福岡県,和歌山県,443.59917893794807
鳥取県,群馬県,445.13689118413095
大阪府,栃木県,446.27703706339594
和歌山県,埼玉県,446.4065560862793
埼玉県,岩手県,447.65692951329083
京都府,茨城県,448.3469517866618
鹿児島県,香川県,448.61917409747196
広島県,石川県,449.3586600388974
東京都,秋田県,449.477355014834
岐阜県,山形県,453.1869874304061
香川県,長野県,454.19512830165826
福岡県,兵庫県,454.7308717298979
奈良県,茨城県,456.3375117087126
千葉県,秋田県,457.4478765887705
奈良県,新潟県,457.89805468070676
愛知県,山形県,458.98881118935594
長崎県,徳島県,459.4071562237476
兵庫県,千葉県,460.4543828153233
石川県,秋田県,461.54768664361626
熊本県,兵庫県,461.85014687712436
佐賀県,和歌山県,463.0538636650607
東京都,岩手県,464.4719166546689
千葉県,岩手県,464.68369507539757
愛媛県,石川県,465.33944294002225
山口県,三重県,465.736611257539
鹿児島県,徳島県,466.24790912554784
宮崎県,兵庫県,466.4355971275988
鹿児島県,岡山県,466.6792592769497
山梨県,秋田県,470.6172973677272
高知県,静岡県,472.8230343880505
兵庫県,栃木県,473.1332357191832
大阪府,新潟県,475.7986317903685
神奈川県,秋田県,476.62020218282026
宮崎県,鳥取県,476.7553320099444
和歌山県,千葉県,477.0966516001003
佐賀県,兵庫県,478.0244110646167
福井県,宮城県,479.2896331048036
栃木県,青森県,479.32584791806124
島根県,長野県,479.3814227516656
山口県,福井県,479.8525897031457
富山県,岩手県,480.0074655514192
大分県,三重県,480.8914072983642
大阪府,茨城県,482.315170042042
高知県,富山県,483.2212508387021
徳島県,群馬県,483.6701858709511
福岡県,大阪府,484.56178731515956
島根県,静岡県,487.4367320112122
岐阜県,宮城県,488.57658419272656
三重県,福島県,488.6007626020637
徳島県,神奈川県,489.05702101313864
鳥取県,神奈川県,489.34183974754484
熊本県,大阪府,489.51838361881676
宮崎県,大阪府,489.97176198881755
鳥取県,埼玉県,490.2055424741548
神奈川県,岩手県,491.55852440965333
鹿児島県,島根県,492.50246845391143
愛知県,宮城県,492.6932540628716
鳥取県,東京都,493.441765245661
兵庫県,新潟県,495.81972997871674
山口県,岐阜県,497.81237445272586
茨城県,青森県,499.14439493024713
島根県,山梨県,499.46584731400964
広島県,富山県,500.08301259884934
和歌山県,栃木県,500.3276937860292
徳島県,東京都,501.6900321750172
岡山県,群馬県,502.05989740956284
鳥取県,新潟県,503.0129222108078
山梨県,岩手県,503.41656201016946
徳島県,埼玉県,504.65940862420683
長崎県,鳥取県,505.5058047428759
佐賀県,大阪府,507.23088635475835
香川県,群馬県,508.82395839905394
山口県,愛知県,509.0651146806222
兵庫県,茨城県,510.4117220444666
福岡県,奈良県,512.4610724797855
滋賀県,福島県,512.4862882502421
宮崎県,奈良県,512.7955622209292
愛媛県,富山県,513.2639933587784
群馬県,青森県,514.0732624072691
長野県,青森県,514.3044525605656
福岡県,京都府,514.7609337332933
熊本県,奈良県,515.7110227019933
高知県,山梨県,516.8638685943617
長崎県,和歌山県,518.1310835181257
京都府,福島県,519.4873071124995
三重県,山形県,520.5788507099463
鳥取県,栃木県,521.0910271133567
鹿児島県,和歌山県,522.4842780238414
福岡県,滋賀県,524.1154948121462
熊本県,京都府,524.9574747934645
香川県,神奈川県,525.2188714412617
石川県,岩手県,525.439667113046
大分県,福井県,525.8201774606546
大分県,岐阜県,526.7249215291254
岡山県,神奈川県,526.7460638969217
福井県,秋田県,529.9580515899743
宮崎県,京都府,530.0411061815095
愛媛県,静岡県,530.4432219015113
鳥取県,千葉県,532.4232756086415
大分県,愛知県,532.4885919539041
熊本県,滋賀県,533.317621345459
和歌山県,茨城県,533.6853012457201
佐賀県,奈良県,534.6390328937638
宮城県,北海道,534.7114312543373
岡山県,埼玉県,535.4607764977711
岡山県,東京都,535.469679685651
香川県,東京都,535.7249633008649
徳島県,千葉県,535.767173385352
和歌山県,新潟県,535.8208613314849
宮崎県,滋賀県,536.8305623299976
長崎県,兵庫県,536.8504783524544
香川県,埼玉県,537.0328356054913
奈良県,福島県,537.4807939695116
山口県,石川県,538.4202172707411
滋賀県,山形県,538.7594492064313
佐賀県,京都府,539.3861342849426
山形県,北海道,542.7304076547122
高知県,長野県,544.9524857965728
京都府,山形県,545.0143851701469
広島県,静岡県,545.364479763755
佐賀県,滋賀県,548.432878924192
静岡県,秋田県,548.6871033906193
島根県,群馬県,550.6079192097558
富山県,青森県,551.6259379536108
鹿児島県,兵庫県,553.6962041439097
三重県,宮城県,553.880812515842
鹿児島県,鳥取県,555.437686688534
徳島県,栃木県,557.2170085429492
大阪府,福島県,559.370638503531
埼玉県,青森県,560.4840620890401
長崎県,大阪府,565.3108222095932
岐阜県,秋田県,565.8753391873414
奈良県,山形県,565.9227093900982
鳥取県,茨城県,566.6449370426672
宮崎県,三重県,566.8593486107048
愛媛県,山梨県,567.3767716168132
香川県,千葉県,571.4407288380437
岡山県,千葉県,572.3316138691276
広島県,山梨県,573.6941045827513
福岡県,三重県,574.0067950003122
